Info,Info,Info,Per Game,Per Game,Per Game,Per Game,Per Game Relative,Per Game Relative,Per Game Relative,Per Game Relative,Home Teams,Home Teams,Home Teams,Home Teams,Home Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*
Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Natalie Sago,NBA,14,177.4,43,37.6,229.3,0,-1.4,-1.3,3.5,0.786,87.7,21.4,18.8,117.4,0.214,89.6,21.6,18.8,111.9,0.571,-1.9,-0.3,0,5.4,0.424,-1.7,-0.4,0.1,3.5
Jenna Schroeder,NBA,12,174.5,41.5,38.8,217.2,-2.9,-2.9,-0.1,-8.6,0.667,86.8,21.3,19.8,111.3,0.333,87.8,20.3,19.1,105.8,0.333,-1,1,0.7,5.5,0.186,-0.8,0.9,0.8,3.6
Brandon Schwab,NBA,10,174.7,38.1,36.4,224.1,-2.7,-6.3,-2.5,-1.7,0.6,88.2,19.2,18.2,113.5,0.4,86.5,18.9,18.2,110.6,0.2,1.7,0.3,0,2.9,0.053,1.9,0.2,0.1,1
Danielle Scott,NBA,11,178.3,38.3,36.2,213.8,0.9,-6.1,-2.7,-12,0.636,87.3,19.8,17.3,107.2,0.364,91,18.5,18.9,106.6,0.273,-3.7,1.4,-1.6,0.5,0.126,-3.5,1.3,-1.5,-1.4
Evan Scott,NBA,10,176.1,40.2,36.7,224.9,-1.3,-4.2,-2.2,-0.9,0.6,88.8,20.2,18.5,111.3,0.4,87.3,20,18.2,113.6,0.2,1.5,0.2,0.3,-2.3,0.053,1.7,0.1,0.4,-4.2
Kevin Scott,NBA,14,182.4,42.2,37.6,232.9,5,-2.2,-1.3,7.1,0.357,90.3,20.4,19.6,115.9,0.643,92.1,21.9,18.1,117,-0.286,-1.9,-1.5,1.5,-1.1,-0.433,-1.7,-1.6,1.6,-3
Aaron Smith,NBA,14,180.1,43.8,39.1,233.2,2.7,-0.6,0.2,7.4,0.571,92.1,21.7,19.4,118.4,0.429,88,22.1,19.6,114.9,0.143,4.1,-0.4,-0.2,3.5,-0.004,4.3,-0.5,-0.1,1.6
Michael Smith,NBA,8,178.8,39,39.8,218.4,1.4,-5.4,0.9,-7.4,0.875,88.6,19.5,19.8,114.6,0.125,90.1,19.5,20,103.8,0.75,-1.5,0,-0.3,10.9,0.603,-1.3,-0.1,-0.2,9
Jonathan Sterling,NBA,10,178.7,48.3,41.3,223.4,1.3,3.9,2.4,-2.4,0.7,91.1,25.4,20.9,113.2,0.3,87.6,22.9,20.4,110.2,0.4,3.5,2.5,0.5,3,0.253,3.7,2.4,0.6,1.1
Ben Taylor,NBA,15,178.5,40,38.5,222.1,1.1,-4.4,-0.4,-3.7,0.733,89.1,21.4,18.1,113.4,0.267,89.5,18.6,20.3,108.7,0.467,-0.4,2.8,-2.2,4.7,0.32,-0.2,2.7,-2.1,2.8
Dedric Taylor,NBA,10,174.7,47,41.8,214.9,-2.7,2.6,2.9,-10.9,0.6,87.2,22.8,21,108.4,0.4,87.5,24.2,20.8,106.5,0.2,-0.3,-1.4,0.2,1.9,0.053,-0.1,-1.5,0.3,0
Josh Tiven,NBA,15,183.1,42.4,38,230.3,5.7,-2,-0.9,4.5,0.467,92,20.4,19,114.9,0.533,91.1,22,19,115.3,-0.067,0.9,-1.6,0,-0.4,-0.214,1.1,-1.7,0.1,-2.3
Scott Twardoski,NBA,13,175.5,52.4,42.9,240.2,-1.9,8,4,14.4,0.385,88.7,26.3,20.6,118.9,0.615,86.8,26.1,22.3,121.2,-0.231,1.9,0.2,-1.7,-2.3,-0.378,2.1,0.1,-1.6,-4.2
Justin Van Duyne,NBA,13,175.5,43.4,38.8,225.8,-1.9,-1,-0.1,0,0.538,88.8,21.8,19.2,113.8,0.462,86.7,21.5,19.6,112.1,0.077,2.1,0.3,-0.5,1.7,-0.07,2.3,0.2,-0.4,-0.2
C.J. Washington,NBA,12,181.6,47.8,40.6,231.2,4.2,3.4,1.7,5.4,0.583,92.8,23.8,20.1,116.8,0.417,88.8,24,20.5,114.3,0.167,4.1,-0.2,-0.4,2.5,0.02,4.3,-0.3,-0.3,0.6
Tom Washington,NBA,9,174.6,38.8,35.2,212.8,-2.8,-5.6,-3.7,-13,0.667,87.6,20.9,17,109.9,0.333,87,17.9,18.2,102.9,0.333,0.6,3,-1.2,7,0.186,0.8,2.9,-1.1,5.1
James Williams,NBA,16,174.9,44.6,38.7,222.9,-2.5,0.2,-0.2,-2.9,0.5,89.6,19.8,19.4,112.6,0.5,85.3,24.8,19.3,110.4,0,4.4,-5,0.2,2.2,-0.147,4.6,-5.1,0.3,0.3
Sean Wright,NBA,9,182.2,42.2,38.8,235.4,4.8,-2.2,-0.1,9.6,0.333,90.9,20.8,19.8,114,0.667,91.3,21.4,19,121.4,-0.333,-0.4,-0.7,0.8,-7.4,-0.48,-0.2,-0.8,0.9,-9.3
Zach Zarba,,14,177.8,42.3,36.9,230.2,0.4,-2.1,-2,4.4,0.929,88,21.1,18.6,120.3,0.071,89.8,21.2,18.3,109.9,0.857,-1.8,-0.1,0.3,10.4,0.71,-1.6,-0.2,0.4,8.5
