Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU,GameID
4-Nov-24,PHI,116,PHO,118,L,-7.5,W,222.5,O,4-Nov-24_PHI_PHO
13-Nov-24,PHO,104,SAC,127,L,-8.0,L,226.5,O,13-Nov-24_PHO_SAC
12-Nov-24,PHO,120,UTA,112,W,5.5,W,228.5,O,12-Nov-24_PHO_UTA
10-Nov-24,SAC,127,PHO,118,L,1.0,L,229.5,O,10-Nov-24_PHO_SAC
2-Nov-24,POR,97,PHO,103,W,-12.5,L,228.5,U,2-Nov-24_PHO_POR
28-Oct-24,POR,98,SAC,111,L,-12.5,L,231.0,U,28-Oct-24_POR_SAC
29-Nov-24,SAC,106,POR,115,W,7.5,W,225.0,U,29-Nov-24_POR_SAC
7-Nov-24,POR,105,SAN,118,L,-4.0,L,217.5,O,7-Nov-24_POR_SAN
16-Nov-24,UTA,117,SAC,121,W,-7.0,L,228.0,O,16-Nov-24_SAC_UTA
11-Nov-24,SAC,96,SAN,116,L,2.5,L,222.5,U,11-Nov-24_SAC_SAN
6-Nov-24,TOR,107,SAC,122,W,-11.5,W,237.5,U,6-Nov-24_SAC_TOR
2-Nov-24,SAC,128,TOR,131,L,9.5,L,235.5,O,2-Nov-24_SAC_TOR
29-Oct-24,SAC,113,UTA,96,W,6.5,W,234.5,U,29-Oct-24_SAC_UTA
31-Oct-24,SAN,106,UTA,88,W,2.5,W,220.5,U,31-Oct-24_SAN_UTA
